matchday,date,time,home_team,away_team,home_score,away_score
1,2025-07-25,14:00,Újpest FC,Diósgyőri VTK,3,1
1,2025-07-26,11:45,Zalaegerszegi TE FC,Debreceni VSC,3,3
1,2025-07-26,14:15,MTK Budapest,Ferencvárosi TC,1,1
1,2025-07-27,10:00,Nyíregyháza Spartacus,Kisvárda FC,1,1
1,2025-07-27,12:00,Paksi FC,ETO FC,3,3
1,2025-07-27,14:00,Puskás Akadémia FC,Kazincbarcikai SC,2,1
2,2025-08-01,14:00,Debreceni VSC,MTK Budapest,1,0
2,2025-08-02,11:45,Diósgyőri VTK,Zalaegerszegi TE FC,2,2
2,2025-08-02,14:15,Ferencvárosi TC,Kazincbarcikai SC,3,0
2,2025-08-03,11:45,Puskás Akadémia FC,Nyíregyháza Spartacus,3,2
2,2025-08-03,11:45,Kisvárda FC,Paksi FC,1,5
2,2025-08-03,14:00,ETO FC,Újpest FC,1,1
3,2025-08-08,14:00,Kazincbarcikai SC,Debreceni VSC,1,2
3,2025-08-09,11:45,MTK Budapest,Diósgyőri VTK,5,0
3,2025-08-09,14:15,Nyíregyháza Spartacus,Ferencvárosi TC,1,4
3,2025-08-10,11:45,Zalaegerszegi TE FC,ETO FC,1,1
3,2025-08-10,11:45,Kisvárda FC,Puskás Akadémia FC,2,1
3,2025-08-10,14:00,Újpest FC,Paksi FC,1,2
4,2025-08-15,14:15,Újpest FC,Kisvárda FC,0,1
4,2025-08-16,12:15,Diósgyőri VTK,Kazincbarcikai SC,2,2
4,2025-08-16,14:15,Ferencvárosi TC,Puskás Akadémia FC,1,2
4,2025-08-17,09:30,Debreceni VSC,Nyíregyháza Spartacus,1,2
4,2025-08-17,11:45,MTK Budapest,ETO FC,2,7
4,2025-08-17,14:00,Paksi FC,Zalaegerszegi TE FC,2,2
5,2025-08-22,14:00,Puskás Akadémia FC,Debreceni VSC,1,3
5,2025-08-23,11:45,Zalaegerszegi TE FC,Újpest FC,1,4
5,2025-08-23,14:15,Nyíregyháza Spartacus,Diósgyőri VTK,1,4
5,2025-08-24,14:00,MTK Budapest,Paksi FC,2,3
5,2025-12-03,12:00,Kazincbarcikai SC,ETO FC,1,3
5,2025-12-04,12:00,Kisvárda FC,Ferencvárosi TC,0,1
