match_id,season_id,matchday,date,time,home_team,away_team,home_score,away_score,result,goal_diff,is_played
2026_1_NYIREGYHAZA_UJPEST,2026,1,2026-07-24,14:00,Nyíregyháza Spartacus,Újpest FC,2.0,1.0,H,1.0,True
2026_1_KISVARDA_HONVED,2026,1,2026-07-25,13:30,Kisvárda FC,Budapest Honvéd FC,1.0,1.0,D,0.0,True
2026_1_VASAS_ETO,2026,1,2026-07-26,09:45,Vasas FC,ETO FC,2.0,2.0,D,0.0,True
2026_1_DVSC_PUSKAS,2026,1,2026-07-26,12:00,Debreceni VSC,Puskás Akadémia FC,0.0,2.0,A,-2.0,True
2026_1_PAKS_FTC,2026,1,2026-07-26,14:00,Paksi FC,Ferencvárosi TC,4.0,2.0,H,2.0,True
2026_1_MTK_ZTE,2026,1,2026-07-27,13:30,MTK Budapest,Zalaegerszegi TE FC,3.0,0.0,H,3.0,True
2026_2_PUSKAS_KISVARDA,2026,2,2026-07-31,14:00,Puskás Akadémia FC,Kisvárda FC,0.0,2.0,A,-2.0,True
2026_2_HONVED_MTK,2026,2,2026-08-01,11:30,Budapest Honvéd FC,MTK Budapest,3.0,3.0,D,0.0,True
2026_2_UJPEST_DVSC,2026,2,2026-08-02,09:30,Újpest FC,Debreceni VSC,4.0,2.0,H,2.0,True
2026_2_FTC_VASAS,2026,2,2026-08-02,11:30,Ferencvárosi TC,Vasas FC,0.0,0.0,D,0.0,True
2026_2_ETO_NYIREGYHAZA,2026,2,2026-08-02,11:30,ETO FC,Nyíregyháza Spartacus,4.0,0.0,H,4.0,True
2026_2_ZTE_PAKS,2026,2,2026-08-03,11:30,Zalaegerszegi TE FC,Paksi FC,5.0,2.0,H,3.0,True
2026_3_MTK_PUSKAS,2026,3,2026-08-07,11:30,MTK Budapest,Puskás Akadémia FC,2.0,3.0,A,-1.0,True
2026_3_VASAS_ZTE,2026,3,2026-08-08,09:30,Vasas FC,Zalaegerszegi TE FC,5.0,0.0,H,5.0,True
2026_3_KISVARDA_UJPEST,2026,3,2026-08-08,11:30,Kisvárda FC,Újpest FC,2.0,4.0,A,-2.0,True
2026_3_PAKS_HONVED,2026,3,2026-08-09,09:30,Paksi FC,Budapest Honvéd FC,2.0,2.0,D,0.0,True
2026_3_DVSC_NYIREGYHAZA,2026,3,2026-08-09,11:30,Debreceni VSC,Nyíregyháza Spartacus,1.0,0.0,H,1.0,True
2026_3_ETO_FTC,2026,3,2026-09-03,13:30,ETO FC,Ferencvárosi TC,,,,,False
2026_4_HONVED_VASAS,2026,4,2026-08-14,11:30,Budapest Honvéd FC,Vasas FC,1.0,2.0,A,-1.0,True
2026_4_UJPEST_MTK,2026,4,2026-08-15,10:30,Újpest FC,MTK Budapest,1.0,1.0,D,0.0,True
2026_4_NYIREGYHAZA_KISVARDA,2026,4,2026-08-15,11:30,Nyíregyháza Spartacus,Kisvárda FC,2.0,1.0,H,1.0,True
2026_4_DVSC_ETO,2026,4,2026-08-16,10:30,Debreceni VSC,ETO FC,1.0,1.0,D,0.0,True
