matchday,team,current_pts,exp_final_pts,p_champion,p_top4,p_relegation,current_rank
0,Debreceni VSC,0,46.1,0.5,32.1,4.0,1
0,Diósgyőri VTK,0,37.2,0.0,5.2,29.8,2
0,ETO FC,0,38.7,0.0,7.1,22.9,3
0,Fehérvár FC,0,51.9,2.5,65.3,0.9,4
0,Ferencvárosi TC,0,69.5,82.8,99.8,0.0,5
0,Kecskeméti TE,0,46.9,0.4,34.7,3.7,6
0,MTK Budapest,0,31.4,0.0,0.5,62.7,7
0,Nyíregyháza Spartacus,0,39.3,0.1,7.4,20.9,8
0,Paksi FC,0,46.5,0.7,32.9,3.9,9
0,Puskás Akadémia FC,0,59.2,12.9,91.2,0.1,10
0,Zalaegerszegi TE FC,0,43.6,0.2,20.5,8.5,11
0,Újpest FC,0,35.2,0.0,3.0,42.4,12
1,Debreceni VSC,3,49.8,2.3,52.5,1.5,1
1,Diósgyőri VTK,1,36.4,0.0,3.6,33.9,5
1,ETO FC,0,37.6,0.1,5.9,27.9,10
1,Fehérvár FC,1,51.2,2.7,60.7,0.7,7
1,Ferencvárosi TC,0,67.6,72.0,99.4,0.0,9
1,Kecskeméti TE,1,46.2,0.5,31.9,4.1,8
1,MTK Budapest,3,34.9,0.0,2.1,42.9,4
1,Nyíregyháza Spartacus,3,40.6,0.1,10.4,17.4,2
1,Paksi FC,1,45.9,0.4,29.1,4.5,6
1,Puskás Akadémia FC,3,60.4,21.8,93.5,0.0,3
1,Zalaegerszegi TE FC,0,40.2,0.1,9.6,18.9,12
1,Újpest FC,0,34.1,0.0,1.3,48.2,11
2,Debreceni VSC,6,53.1,4.2,67.2,0.1,1
2,Diósgyőri VTK,1,34.8,0.0,1.7,39.0,9
2,ETO FC,0,34.1,0.0,1.1,44.9,12
2,Fehérvár FC,4,53.3,4.6,68.5,0.2,4
2,Ferencvárosi TC,3,68.0,69.7,99.4,0.0,6
2,Kecskeméti TE,1,45.7,0.2,22.7,2.9,8
2,MTK Budapest,6,37.9,0.0,4.2,21.2,2
2,Nyíregyháza Spartacus,3,37.9,0.1,4.2,26.1,7
2,Paksi FC,4,47.1,0.9,30.6,1.8,5
2,Puskás Akadémia FC,6,61.3,20.3,93.8,0.0,3
2,Zalaegerszegi TE FC,0,39.7,0.1,5.7,17.0,11
2,Újpest FC,0,33.3,0.0,0.9,46.9,10
3,Debreceni VSC,7,52.9,3.8,71.0,0.7,3
3,Diósgyőri VTK,1,33.8,0.0,0.9,47.1,11
3,ETO FC,0,31.8,0.0,0.7,60.4,12
3,Fehérvár FC,4,49.5,0.8,49.1,1.6,6
3,Ferencvárosi TC,6,69.1,72.5,99.9,0.0,4
3,Kecskeméti TE,2,45.2,0.3,27.1,5.3,10
3,MTK Budapest,9,40.8,0.1,10.2,12.4,1
3,Nyíregyháza Spartacus,3,36.9,0.0,3.9,31.1,9
3,Paksi FC,4,44.5,0.3,21.2,5.6,5
3,Puskás Akadémia FC,9,62.6,22.3,96.5,0.0,2
3,Zalaegerszegi TE FC,3,42.6,0.1,14.5,8.4,8
3,Újpest FC,3,37.1,0.0,5.0,27.4,7
4,Debreceni VSC,7,49.4,1.1,54.3,1.5,4
4,Diósgyőri VTK,4,37.3,0.0,3.9,29.3,9
4,ETO FC,0,31.2,0.0,0.4,67.8,12
4,Fehérvár FC,5,48.4,0.9,45.7,1.1,7
4,Ferencvárosi TC,9,68.7,70.5,99.8,0.0,3
4,Kecskeméti TE,5,46.0,0.4,32.0,3.7,6
4,MTK Budapest,9,40.4,0.1,10.5,14.2,2
4,Nyíregyháza Spartacus,3,35.8,0.1,2.0,40.5,11
4,Paksi FC,7,45.8,0.3,29.7,4.6,5
4,Puskás Akadémia FC,12,63.0,26.6,97.7,0.0,1
4,Zalaegerszegi TE FC,4,42.8,0.1,18.7,9.0,8
