match_id,season_id,matchday,date,time,home_team,away_team,home_score,away_score,result,goal_diff
2015_1_DVTK_VASAS,2015,1,2015-07-18,12:00,Diósgyőri VTK,Vasas FC,2,1,H,1
2015_1_MTK_PUSKAS,2015,1,2015-07-18,12:00,MTK Budapest,Puskás Akadémia FC,1,0,H,1
2015_1_UJPEST_PAKS,2015,1,2015-07-18,12:00,Újpest FC,Paksi FC,0,0,D,0
2015_1_HONVED_FEHERVAR,2015,1,2015-07-18,14:30,Kispest–Honvéd FC,Fehérvár FC,1,0,H,1
2015_1_HALADAS_FTC,2015,1,2015-07-19,12:00,Szombathelyi Haladás,Ferencvárosi TC,0,2,A,-2
2015_1_BEKESCSABA_DVSC,2015,1,2015-07-19,12:00,Békéscsaba 1912 Elöre SE,Debreceni VSC,2,3,A,-1
2015_2_HONVED_MTK,2015,2,2015-07-25,09:30,Kispest–Honvéd FC,MTK Budapest,2,1,H,1
2015_2_PAKS_BEKESCSABA,2015,2,2015-07-25,12:00,Paksi FC,Békéscsaba 1912 Elöre SE,4,0,H,4
2015_2_FEHERVAR_HALADAS,2015,2,2015-07-25,12:00,Fehérvár FC,Szombathelyi Haladás,0,1,A,-1
2015_2_VASAS_UJPEST,2015,2,2015-07-25,14:30,Vasas FC,Újpest FC,1,3,A,-2
2015_2_DVSC_PUSKAS,2015,2,2015-07-26,12:00,Debreceni VSC,Puskás Akadémia FC,1,1,D,0
2015_2_FTC_DVTK,2015,2,2015-07-26,12:00,Ferencvárosi TC,Diósgyőri VTK,3,1,H,2
2015_3_DVTK_FEHERVAR,2015,3,2015-08-01,12:00,Diósgyőri VTK,Fehérvár FC,1,2,A,-1
2015_3_HALADAS_MTK,2015,3,2015-08-01,12:00,Szombathelyi Haladás,MTK Budapest,2,2,D,0
2015_3_PUSKAS_PAKS,2015,3,2015-08-01,12:00,Puskás Akadémia FC,Paksi FC,1,0,H,1
2015_3_UJPEST_BEKESCSABA,2015,3,2015-08-01,12:00,Újpest FC,Békéscsaba 1912 Elöre SE,2,0,H,2
2015_3_VASAS_FTC,2015,3,2015-08-01,14:30,Vasas FC,Ferencvárosi TC,0,2,A,-2
2015_3_HONVED_DVSC,2015,3,2015-08-02,12:00,Kispest–Honvéd FC,Debreceni VSC,3,3,D,0
2015_4_BEKESCSABA_VASAS,2015,4,2015-08-08,12:00,Békéscsaba 1912 Elöre SE,Vasas FC,0,2,A,-2
2015_4_UJPEST_PUSKAS,2015,4,2015-08-08,12:00,Újpest FC,Puskás Akadémia FC,2,2,D,0
2015_4_PAKS_HONVED,2015,4,2015-08-08,12:00,Paksi FC,Kispest–Honvéd FC,3,1,H,2
2015_4_MTK_DVTK,2015,4,2015-08-08,12:00,MTK Budapest,Diósgyőri VTK,5,0,H,5
2015_4_FEHERVAR_FTC,2015,4,2015-08-08,14:30,Fehérvár FC,Ferencvárosi TC,1,3,A,-2
2015_4_DVSC_HALADAS,2015,4,2015-08-09,14:15,Debreceni VSC,Szombathelyi Haladás,0,1,A,-1
2015_5_DVTK_DVSC,2015,5,2015-08-15,12:00,Diósgyőri VTK,Debreceni VSC,0,2,A,-2
2015_5_HALADAS_PAKS,2015,5,2015-08-15,12:00,Szombathelyi Haladás,Paksi FC,1,0,H,1
2015_5_PUSKAS_BEKESCSABA,2015,5,2015-08-15,12:00,Puskás Akadémia FC,Békéscsaba 1912 Elöre SE,1,2,A,-1
2015_5_VASAS_FEHERVAR,2015,5,2015-08-15,12:00,Vasas FC,Fehérvár FC,2,1,H,1
2015_5_UJPEST_HONVED,2015,5,2015-08-15,12:00,Újpest FC,Kispest–Honvéd FC,1,1,D,0
2015_5_FTC_MTK,2015,5,2015-08-15,14:30,Ferencvárosi TC,MTK Budapest,2,0,H,2
2015_6_PUSKAS_VASAS,2015,6,2015-08-22,12:00,Puskás Akadémia FC,Vasas FC,1,0,H,1
2015_6_BEKESCSABA_HONVED,2015,6,2015-08-22,12:00,Békéscsaba 1912 Elöre SE,Kispest–Honvéd FC,1,4,A,-3
2015_6_UJPEST_HALADAS,2015,6,2015-08-22,12:00,Újpest FC,Szombathelyi Haladás,0,0,D,0
2015_6_PAKS_DVTK,2015,6,2015-08-22,12:00,Paksi FC,Diósgyőri VTK,1,1,D,0
2015_6_DVSC_FTC,2015,6,2015-08-22,14:30,Debreceni VSC,Ferencvárosi TC,0,3,A,-3
2015_6_MTK_FEHERVAR,2015,6,2015-08-23,12:00,MTK Budapest,Fehérvár FC,1,0,H,1
2015_7_DVTK_UJPEST,2015,7,2015-08-29,12:00,Diósgyőri VTK,Újpest FC,2,1,H,1
2015_7_HONVED_PUSKAS,2015,7,2015-08-29,12:00,Kispest–Honvéd FC,Puskás Akadémia FC,0,0,D,0
2015_7_VASAS_MTK,2015,7,2015-08-29,12:00,Vasas FC,MTK Budapest,0,1,A,-1
2015_7_BEKESCSABA_HALADAS,2015,7,2015-08-29,12:00,Békéscsaba 1912 Elöre SE,Szombathelyi Haladás,0,1,A,-1
2015_7_FTC_PAKS,2015,7,2015-08-29,14:30,Ferencvárosi TC,Paksi FC,2,0,H,2
2015_7_FEHERVAR_DVSC,2015,7,2015-08-30,12:00,Fehérvár FC,Debreceni VSC,1,0,H,1
2015_8_HONVED_VASAS,2015,8,2015-09-12,12:00,Kispest–Honvéd FC,Vasas FC,0,1,A,-1
2015_8_PUSKAS_HALADAS,2015,8,2015-09-12,12:00,Puskás Akadémia FC,Szombathelyi Haladás,1,1,D,0
2015_8_BEKESCSABA_DVTK,2015,8,2015-09-12,12:00,Békéscsaba 1912 Elöre SE,Diósgyőri VTK,1,1,D,0
2015_8_PAKS_FEHERVAR,2015,8,2015-09-12,12:00,Paksi FC,Fehérvár FC,2,0,H,2
2015_8_DVSC_MTK,2015,8,2015-09-12,12:00,Debreceni VSC,MTK Budapest,1,0,H,1
2015_8_UJPEST_FTC,2015,8,2015-09-12,14:30,Újpest FC,Ferencvárosi TC,1,2,A,-1
2015_9_DVTK_PUSKAS,2015,9,2015-09-19,12:00,Diósgyőri VTK,Puskás Akadémia FC,3,2,H,1
2015_9_HALADAS_HONVED,2015,9,2015-09-19,12:00,Szombathelyi Haladás,Kispest–Honvéd FC,0,0,D,0
2015_9_FTC_BEKESCSABA,2015,9,2015-09-19,12:00,Ferencvárosi TC,Békéscsaba 1912 Elöre SE,1,0,H,1
2015_9_VASAS_DVSC,2015,9,2015-09-19,12:00,Vasas FC,Debreceni VSC,0,1,A,-1
2015_9_PAKS_MTK,2015,9,2015-09-19,12:00,Paksi FC,MTK Budapest,0,0,D,0
2015_9_FEHERVAR_UJPEST,2015,9,2015-09-19,14:30,Fehérvár FC,Újpest FC,3,0,H,3
2015_10_HALADAS_VASAS,2015,10,2015-09-26,12:00,Szombathelyi Haladás,Vasas FC,1,1,D,0
2015_10_HONVED_DVTK,2015,10,2015-09-26,12:00,Kispest–Honvéd FC,Diósgyőri VTK,2,1,H,1
2015_10_PUSKAS_FTC,2015,10,2015-09-26,12:00,Puskás Akadémia FC,Ferencvárosi TC,0,0,D,0
2015_10_BEKESCSABA_FEHERVAR,2015,10,2015-09-26,12:00,Békéscsaba 1912 Elöre SE,Fehérvár FC,2,0,H,2
2015_10_PAKS_DVSC,2015,10,2015-09-26,12:00,Paksi FC,Debreceni VSC,1,1,D,0
2015_10_UJPEST_MTK,2015,10,2015-09-26,14:30,Újpest FC,MTK Budapest,2,2,D,0
2015_11_DVTK_HALADAS,2015,11,2015-10-03,12:00,Diósgyőri VTK,Szombathelyi Haladás,1,1,D,0
2015_11_DVSC_UJPEST,2015,11,2015-10-03,12:00,Debreceni VSC,Újpest FC,1,1,D,0
2015_11_FEHERVAR_PUSKAS,2015,11,2015-10-03,12:00,Fehérvár FC,Puskás Akadémia FC,3,2,H,1
2015_11_VASAS_PAKS,2015,11,2015-10-03,12:00,Vasas FC,Paksi FC,1,2,A,-1
2015_11_BEKESCSABA_MTK,2015,11,2015-10-03,12:00,Békéscsaba 1912 Elöre SE,MTK Budapest,1,1,D,0
2015_11_FTC_HONVED,2015,11,2015-10-03,14:30,Ferencvárosi TC,Kispest–Honvéd FC,2,1,H,1
2015_12_VASAS_DVTK,2015,12,2015-10-17,12:00,Vasas FC,Diósgyőri VTK,0,1,A,-1
2015_12_FEHERVAR_HONVED,2015,12,2015-10-17,12:00,Fehérvár FC,Kispest–Honvéd FC,3,0,H,3
2015_12_DVSC_BEKESCSABA,2015,12,2015-10-17,12:00,Debreceni VSC,Békéscsaba 1912 Elöre SE,7,0,H,7
2015_12_PAKS_UJPEST,2015,12,2015-10-17,12:00,Paksi FC,Újpest FC,1,0,H,1
2015_12_PUSKAS_MTK,2015,12,2015-10-17,12:00,Puskás Akadémia FC,MTK Budapest,2,3,A,-1
2015_12_FTC_HALADAS,2015,12,2015-10-17,14:30,Ferencvárosi TC,Szombathelyi Haladás,3,1,H,2
2015_13_PUSKAS_DVSC,2015,13,2015-10-24,09:30,Puskás Akadémia FC,Debreceni VSC,1,1,D,0
2015_13_BEKESCSABA_PAKS,2015,13,2015-10-24,11:30,Békéscsaba 1912 Elöre SE,Paksi FC,2,3,A,-1
2015_13_HALADAS_FEHERVAR,2015,13,2015-10-24,11:30,Szombathelyi Haladás,Fehérvár FC,1,0,H,1
2015_13_DVTK_FTC,2015,13,2015-10-24,11:30,Diósgyőri VTK,Ferencvárosi TC,0,2,A,-2
2015_13_UJPEST_VASAS,2015,13,2015-10-24,11:30,Újpest FC,Vasas FC,2,0,H,2
2015_13_MTK_HONVED,2015,13,2015-10-24,11:30,MTK Budapest,Kispest–Honvéd FC,2,1,H,1
2015_14_PAKS_PUSKAS,2015,14,2015-10-31,10:30,Paksi FC,Puskás Akadémia FC,4,2,H,2
2015_14_DVSC_HONVED,2015,14,2015-10-31,10:55,Debreceni VSC,Kispest–Honvéd FC,0,0,D,0
2015_14_FTC_VASAS,2015,14,2015-10-31,12:55,Ferencvárosi TC,Vasas FC,5,1,H,4
2015_14_FEHERVAR_DVTK,2015,14,2015-10-31,13:00,Fehérvár FC,Diósgyőri VTK,2,1,H,1
2015_14_MTK_HALADAS,2015,14,2015-10-31,13:00,MTK Budapest,Szombathelyi Haladás,0,1,A,-1
2015_14_BEKESCSABA_UJPEST,2015,14,2015-10-31,13:00,Békéscsaba 1912 Elöre SE,Újpest FC,1,3,A,-2
2015_15_PUSKAS_UJPEST,2015,15,2015-12-01,12:00,Puskás Akadémia FC,Újpest FC,1,1,D,0
2015_15_VASAS_BEKESCSABA,2015,15,2015-12-02,12:30,Vasas FC,Békéscsaba 1912 Elöre SE,4,0,H,4
2015_15_HONVED_PAKS,2015,15,2015-12-02,12:30,Kispest–Honvéd FC,Paksi FC,0,0,D,0
2015_15_HALADAS_DVSC,2015,15,2015-12-02,12:30,Szombathelyi Haladás,Debreceni VSC,2,2,D,0
2015_15_DVTK_MTK,2015,15,2015-12-02,12:30,Diósgyőri VTK,MTK Budapest,1,1,D,0
2015_15_FTC_FEHERVAR,2015,15,2015-12-02,12:30,Ferencvárosi TC,Fehérvár FC,1,0,H,1
2015_16_DVSC_DVTK,2015,16,2015-11-21,09:30,Debreceni VSC,Diósgyőri VTK,1,0,H,1
2015_16_PAKS_HALADAS,2015,16,2015-11-21,09:30,Paksi FC,Szombathelyi Haladás,2,0,H,2
2015_16_BEKESCSABA_PUSKAS,2015,16,2015-11-21,09:30,Békéscsaba 1912 Elöre SE,Puskás Akadémia FC,2,1,H,1
2015_16_FEHERVAR_VASAS,2015,16,2015-11-21,09:30,Fehérvár FC,Vasas FC,2,0,H,2
2015_16_HONVED_UJPEST,2015,16,2015-11-21,09:30,Kispest–Honvéd FC,Újpest FC,1,2,A,-1
2015_16_MTK_FTC,2015,16,2015-11-21,12:00,MTK Budapest,Ferencvárosi TC,1,0,H,1
2015_17_VASAS_PUSKAS,2015,17,2015-11-28,09:30,Vasas FC,Puskás Akadémia FC,2,4,A,-2
