season,date,home_team,away_team,home_score,away_score,result,odds_1,odds_x,odds_2
current,,ETO FC,Ferencvárosi TC,,,,3.65,3.6,1.88
current,2026-08-30,Puskás Akadémia FC,Ferencvárosi TC,1.0,2.0,A,3.95,3.7,1.73
current,2026-08-30,Kisvárda FC,ETO FC,1.0,1.0,D,3.05,3.4,2.08
current,2026-08-29,Újpest FC,Vasas FC,3.0,1.0,H,2.18,3.45,2.84
current,2026-08-29,Budapest Honvéd FC,Zalaegerszegi TE FC,1.0,0.0,H,1.98,3.35,3.25
current,2026-08-29,Nyíregyháza Spartacus,Paksi FC,1.0,1.0,D,2.25,3.65,2.63
current,2026-08-28,Debreceni VSC,MTK Budapest,2.0,2.0,D,2.39,3.35,2.57
current,2026-08-23,Kisvárda FC,Debreceni VSC,0.0,0.0,D,3.05,3.45,2.15
current,2026-08-23,ETO FC,Zalaegerszegi TE FC,3.0,0.0,H,1.67,4.05,4.27
current,2026-08-22,MTK Budapest,Nyíregyháza Spartacus,2.0,1.0,H,2.23,3.55,2.84
current,2026-08-22,Vasas FC,Puskás Akadémia FC,0.0,1.0,A,2.18,3.5,2.95
current,2026-08-21,Paksi FC,Újpest FC,2.0,0.0,H,1.93,3.8,3.33
current,2026-08-17,Zalaegerszegi TE FC,Ferencvárosi TC,0.0,1.0,A,5.13,3.95,1.58
current,2026-08-16,Puskás Akadémia FC,Paksi FC,3.0,2.0,H,2.32,3.45,2.72
current,2026-08-16,Debreceni VSC,ETO FC,1.0,1.0,D,2.39,3.45,2.67
current,2026-08-15,Nyíregyháza Spartacus,Kisvárda FC,2.0,1.0,H,1.82,3.63,3.95
current,2026-08-15,Újpest FC,MTK Budapest,1.0,1.0,D,1.95,3.65,3.35
current,2026-08-14,Budapest Honvéd FC,Vasas FC,1.0,2.0,A,2.53,3.35,2.48
current,2026-08-09,Debreceni VSC,Nyíregyháza Spartacus,1.0,0.0,H,2.28,3.25,2.78
current,2026-08-09,Paksi FC,Budapest Honvéd FC,2.0,2.0,D,2.0,3.45,3.25
current,2026-08-08,Kisvárda FC,Újpest FC,2.0,4.0,A,2.75,3.3,2.3
current,2026-08-08,Vasas FC,Zalaegerszegi TE FC,5.0,0.0,H,2.25,3.45,2.75
