time_captured,match_minute,match_seconds,type,name,situation,team,possession,x,y,start_x,start_y,trajectory_points,event_id,home_score,away_score,player_id,player_name,action_type,category,outcome,keypass,pass_start_x,pass_start_y,pass_end_x,pass_end_y,match_coord_dist
18:10:24,10.0,548.0,matchsituation,matchsituation,dangerous,away,False,10.0,52.0,,,,dcc74231-ca8b-449a-9be8-4ed4b69190df,,,1431516.0,Trivante Stewart,clearance,defensive,True,False,12.5,65.9,11.8,62.4,17.63
18:10:24,,,ballcoordinates,Pitch coordinates,,away,False,10.0,52.0,20.0,90.0,"[{'team': 'away', 'X': 10, 'Y': 52}, {'team': 'away', 'X': 16, 'Y': 58}, {'team': 'away', 'X': 28, 'Y': 92}, {'team': 'away', 'X': 20, 'Y': 90}]",dcc74231-ca8b-449a-9be8-4ed4b69190df-1140,,,933448.0,Ulrich Meleke,pass,passes,True,False,27.0,87.1,19.4,67.9,19.96
18:10:29,10.0,551.0,matchsituation,matchsituation,safe,home,False,10.0,52.0,,,,8a84fff4-6022-495e-80a7-ab16f5aa0520,,,857065.0,Horațiu Moldovan,pass,passes,True,False,10.9,43.9,16.8,56.6,11.57
18:10:29,,,ballcoordinates,Pitch coordinates,,home,False,10.0,52.0,28.0,92.0,"[{'team': 'home', 'X': 10, 'Y': 52}, {'team': 'away', 'X': 10, 'Y': 52}, {'team': 'away', 'X': 16, 'Y': 58}, {'team': 'away', 'X': 28, 'Y': 92}]",8a84fff4-6022-495e-80a7-ab16f5aa0520-1140,,,999646.0,Seyfettin Anıl Yaşar,pass,passes,True,False,31.8,95.3,6.0,55.1,7.14
18:10:30,10.0,553.0,matchsituation,matchsituation,safe,home,False,22.0,85.0,,,,d4727271-d3e6-4adc-9e5b-174f3ec8e2a7,,,556774.0,Zak Jules,pass,passes,,False,13.6,84.4,14.3,85.6,11.43
18:10:30,,,ballcoordinates,Pitch coordinates,,home,False,22.0,85.0,16.0,58.0,"[{'team': 'home', 'X': 22, 'Y': 85}, {'team': 'home', 'X': 10, 'Y': 52}, {'team': 'away', 'X': 10, 'Y': 52}, {'team': 'away', 'X': 16, 'Y': 58}]",d4727271-d3e6-4adc-9e5b-174f3ec8e2a7-1140,,,556774.0,Zak Jules,pass,passes,True,False,18.1,66.3,25.9,82.3,9.79
18:10:32,10.0,556.0,matchsituation,matchsituation,safe,home,False,41.0,88.0,,,,7bac5ee9-1fb8-4fbf-a33a-57946c851717,,,999646.0,Seyfettin Anıl Yaşar,pass,passes,True,False,43.8,97.1,47.8,81.1,13.58
18:10:32,,,ballcoordinates,Pitch coordinates,,home,False,41.0,88.0,10.0,52.0,"[{'team': 'home', 'X': 41, 'Y': 88}, {'team': 'home', 'X': 22, 'Y': 85}, {'team': 'home', 'X': 10, 'Y': 52}, {'team': 'away', 'X': 10, 'Y': 52}]",7bac5ee9-1fb8-4fbf-a33a-57946c851717-1140,,,1083138.0,Chandrel Massanga,pass,passes,True,False,14.4,59.1,33.8,98.1,14.95
18:10:37,10.0,560.0,freekick,Freekick,,home,False,41.0,88.0,,,,2672dee0-4e93-4482-b693-35c2dee3a2c0,,,999646.0,Seyfettin Anıl Yaşar,pass,passes,True,False,43.8,97.1,47.8,81.1,13.58
18:11:02,10.0,585.0,matchsituation,matchsituation,safe,home,False,31.0,23.0,,,,e06add5e-94cf-4e36-8c61-f7ee2649fb80,,,877103.0,Jawad El Yamiq,pass,passes,True,False,32.2,23.1,36.2,30.6,9.29
18:11:02,,,ballcoordinates,Pitch coordinates,,home,False,31.0,23.0,22.0,85.0,"[{'team': 'home', 'X': 31, 'Y': 23}, {'team': 'home', 'X': 27, 'Y': 51}, {'team': 'home', 'X': 41, 'Y': 88}, {'team': 'home', 'X': 22, 'Y': 85}]",e06add5e-94cf-4e36-8c61-f7ee2649fb80-1140,,,,,,,,,,,,,30.92
18:11:06,10.0,589.0,matchsituation,matchsituation,safe,home,False,40.0,33.0,,,,1815a25d-5998-4106-885c-97cbe355fefd,,,1083138.0,Chandrel Massanga,pass,passes,,False,36.2,30.6,36.6,27.1,8.16
18:11:06,,,ballcoordinates,Pitch coordinates,,home,False,40.0,33.0,41.0,88.0,"[{'team': 'home', 'X': 40, 'Y': 33}, {'team': 'home', 'X': 31, 'Y': 23}, {'team': 'home', 'X': 27, 'Y': 51}, {'team': 'home', 'X': 41, 'Y': 88}]",1815a25d-5998-4106-885c-97cbe355fefd-1140,,,1622183.0,Charles-Andre Raux Yao,pass,passes,True,False,47.2,69.0,42.2,34.8,20.19
18:11:07,10.0,590.0,matchsituation,matchsituation,safe,home,False,48.0,35.0,,,,68ca477b-6c8c-410a-b80b-8630252b3dc3,,,877103.0,Jawad El Yamiq,pass,passes,True,False,46.5,28.3,48.1,32.1,7.45
18:11:07,,,ballcoordinates,Pitch coordinates,,home,False,48.0,35.0,27.0,51.0,"[{'team': 'home', 'X': 48, 'Y': 35}, {'team': 'home', 'X': 40, 'Y': 33}, {'team': 'home', 'X': 31, 'Y': 23}, {'team': 'home', 'X': 27, 'Y': 51}]",68ca477b-6c8c-410a-b80b-8630252b3dc3-1140,,,807400.0,Abdelhamid Sabiri,ball-carry,ball-carries,,False,37.1,53.4,36.8,33.2,15.38
