event_category,event_action_type,player_id,player_name,team,is_home,outcome,keypass,start_x,start_y,end_x,end_y
passes,pass,857065,Horațiu Moldovan,home,True,True,False,6.1,62.0,12.3,28.0
passes,pass,857065,Horațiu Moldovan,home,True,True,False,10.9,43.9,16.8,56.6
passes,pass,857065,Horațiu Moldovan,home,True,True,False,3.7,25.6,47.8,39.8
passes,pass,857065,Horațiu Moldovan,home,True,True,False,5.7,53.1,12.2,77.6
passes,pass,857065,Horațiu Moldovan,home,True,,False,11.7,27.6,55.9,32.7
passes,pass,857065,Horațiu Moldovan,home,True,True,False,5.3,56.3,9.2,69.9
passes,pass,857065,Horațiu Moldovan,home,True,,False,9.7,30.9,72.9,16.8
passes,pass,857065,Horațiu Moldovan,home,True,,False,4.8,59.3,38.9,100.0
passes,pass,857065,Horațiu Moldovan,home,True,True,False,4.8,37.7,58.0,28.0
defensive,ball-recovery,857065,Horațiu Moldovan,home,True,True,False,6.1,64.8,,
defensive,ball-recovery,857065,Horațiu Moldovan,home,True,True,False,14.4,58.5,,
ball-carries,ball-carry,857065,Horațiu Moldovan,home,True,,False,10.2,34.9,11.7,27.6
ball-carries,ball-carry,857065,Horațiu Moldovan,home,True,,False,8.6,39.7,9.7,30.9
passes,pass,1084164,Talha Ülvan,home,True,,False,45.1,6.5,56.7,27.6
passes,pass,1084164,Talha Ülvan,home,True,,False,73.2,19.1,74.7,17.3
passes,pass,1084164,Talha Ülvan,home,True,True,False,33.2,4.3,36.1,12.9
passes,pass,1084164,Talha Ülvan,home,True,True,False,18.3,7.4,42.5,4.0
passes,pass,1084164,Talha Ülvan,home,True,True,False,44.1,3.7,35.6,16.2
passes,pass,1084164,Talha Ülvan,home,True,True,False,8.3,22.8,7.2,31.2
passes,pass,1084164,Talha Ülvan,home,True,True,False,55.9,3.5,42.0,12.9
passes,pass,1084164,Talha Ülvan,home,True,True,False,40.0,17.6,32.2,23.1
passes,pass,1084164,Talha Ülvan,home,True,,False,64.6,11.1,63.9,29.2
passes,pass,1084164,Talha Ülvan,home,True,True,False,35.2,4.9,34.2,17.9
dribbles,dribble,1084164,Talha Ülvan,home,True,True,False,78.5,41.2,,
dribbles,dribble,1084164,Talha Ülvan,home,True,,False,84.4,34.9,,
defensive,tackle,1084164,Talha Ülvan,home,True,True,False,66.4,11.5,,
defensive,ball-recovery,1084164,Talha Ülvan,home,True,True,False,8.3,22.8,,
ball-carries,ball-carry,1084164,Talha Ülvan,home,True,,False,40.0,0.8,45.1,6.5
passes,pass,877103,Jawad El Yamiq,home,True,True,False,30.1,22.4,40.0,0.8
passes,pass,877103,Jawad El Yamiq,home,True,True,False,43.1,34.9,46.2,94.5
passes,pass,877103,Jawad El Yamiq,home,True,True,False,57.4,27.1,79.7,6.2
passes,pass,877103,Jawad El Yamiq,home,True,True,False,36.6,18.6,31.0,51.9
passes,pass,877103,Jawad El Yamiq,home,True,True,False,46.5,28.3,48.1,32.1
passes,pass,877103,Jawad El Yamiq,home,True,,False,44.1,8.6,77.3,34.5
passes,pass,877103,Jawad El Yamiq,home,True,True,False,32.2,23.1,36.2,30.6
passes,pass,877103,Jawad El Yamiq,home,True,True,False,32.5,15.5,34.0,7.9
passes,pass,877103,Jawad El Yamiq,home,True,,False,38.5,16.7,88.8,49.0
passes,pass,877103,Jawad El Yamiq,home,True,True,False,29.3,20.0,36.8,30.3
passes,pass,877103,Jawad El Yamiq,home,True,True,False,38.0,26.1,38.0,83.2
defensive,clearance,877103,Jawad El Yamiq,home,True,True,False,16.6,3.8,16.8,2.5
defensive,clearance,877103,Jawad El Yamiq,home,True,True,False,39.8,6.8,41.3,0.0
defensive,clearance,877103,Jawad El Yamiq,home,True,True,False,7.4,30.4,10.1,28.8
defensive,ball-recovery,877103,Jawad El Yamiq,home,True,True,False,32.2,23.1,,
defensive,clearance,877103,Jawad El Yamiq,home,True,True,False,22.7,39.2,19.7,16.1
ball-carries,ball-carry,877103,Jawad El Yamiq,home,True,,False,12.3,28.0,30.1,22.4
ball-carries,ball-carry,877103,Jawad El Yamiq,home,True,,False,42.2,34.8,46.5,28.3
ball-carries,ball-carry,877103,Jawad El Yamiq,home,True,,False,42.0,12.9,44.1,8.6
passes,pass,556774,Zak Jules,home,True,True,False,18.1,66.3,25.9,82.3
passes,pass,556774,Zak Jules,home,True,True,False,14.7,54.8,3.5,25.6
passes,pass,556774,Zak Jules,home,True,True,False,7.7,76.9,10.6,95.7
passes,pass,556774,Zak Jules,home,True,,False,13.6,84.4,14.3,85.6
passes,pass,556774,Zak Jules,home,True,True,False,16.7,69.3,23.0,98.1
passes,pass,556774,Zak Jules,home,True,True,False,33.6,57.5,34.5,89.1
passes,pass,556774,Zak Jules,home,True,True,False,26.0,62.7,10.2,34.9
passes,pass,556774,Zak Jules,home,True,True,False,9.2,69.9,18.7,97.4
passes,pass,556774,Zak Jules,home,True,True,False,24.5,60.9,8.6,39.7
passes,pass,556774,Zak Jules,home,True,True,False,34.5,26.7,40.0,17.6
passes,pass,556774,Zak Jules,home,True,True,False,25.6,54.5,27.4,22.7
defensive,clearance,556774,Zak Jules,home,True,True,False,13.3,63.0,12.2,100.0
defensive,block,556774,Zak Jules,home,True,True,False,4.8,37.5,,
defensive,block,556774,Zak Jules,home,True,True,False,11.9,50.9,,
ball-carries,ball-carry,556774,Zak Jules,home,True,,False,16.8,56.6,18.1,66.3
ball-carries,ball-carry,556774,Zak Jules,home,True,,False,12.2,77.6,7.7,76.9
ball-carries,ball-carry,556774,Zak Jules,home,True,,False,31.0,51.9,33.6,57.5
passes,pass,999646,Seyfettin Anıl Yaşar,home,True,True,False,26.4,82.3,32.9,71.7
passes,pass,999646,Seyfettin Anıl Yaşar,home,True,True,False,24.9,86.8,14.3,55.2
passes,pass,999646,Seyfettin Anıl Yaşar,home,True,True,False,46.6,95.6,51.2,98.9
passes,pass,999646,Seyfettin Anıl Yaşar,home,True,True,False,31.8,95.3,6.0,55.1
passes,pass,999646,Seyfettin Anıl Yaşar,home,True,True,False,11.7,94.2,13.6,82.7
passes,pass,999646,Seyfettin Anıl Yaşar,home,True,,False,36.8,98.1,41.0,77.8
passes,pass,999646,Seyfettin Anıl Yaşar,home,True,True,False,24.4,98.6,34.8,97.5
passes,pass,999646,Seyfettin Anıl Yaşar,home,True,,False,23.1,98.4,38.5,83.2
passes,pass,999646,Seyfettin Anıl Yaşar,home,True,True,False,35.1,89.3,51.6,74.7
passes,pass,999646,Seyfettin Anıl Yaşar,home,True,True,False,34.9,84.7,26.0,62.7
passes,pass,999646,Seyfettin Anıl Yaşar,home,True,True,False,43.8,97.1,47.8,81.1
passes,pass,999646,Seyfettin Anıl Yaşar,home,True,,False,21.2,97.4,43.7,65.8
passes,pass,999646,Seyfettin Anıl Yaşar,home,True,True,False,44.4,70.3,47.3,64.2
passes,pass,999646,Seyfettin Anıl Yaşar,home,True,True,False,40.5,77.3,24.6,60.9
passes,pass,999646,Seyfettin Anıl Yaşar,home,True,,False,46.7,58.4,59.9,27.4
passes,pass,999646,Seyfettin Anıl Yaşar,home,True,True,False,38.2,85.4,49.8,97.7
defensive,clearance,999646,Seyfettin Anıl Yaşar,home,True,True,False,12.9,35.8,24.7,18.3
