rank,league,sofascore_name,id,country
1,English Premier League,Premier League,17,England
2,Spanish La Liga,LaLiga,8,Spain
3,Italian Serie A,Serie A,23,Italy
4,German Bundesliga,Bundesliga,35,Germany
5,French Ligue 1,Ligue 1,34,France
6,Belgian Jupiler Pro League,Jupiler Pro League,38,Belgium
7,English Championship,Championship,18,England
8,Liga Profesional Argentina,Liga Profesional de Fútbol,155,Argentina
9,Brazilian Serie A,Brasileiro Serie A,325,Brazil
10,Portuguese Primeira Liga,Liga Portugal,238,Portugal
11,Danish Superligaen,Superliga,39,Denmark
12,Polish Ekstraklasa,Ekstraklasa,202,Poland
13,US Major League Soccer,MLS,242,USA
14,Croatia Prva HNL,HNL,170,Croatia
15,Ecuador Liga Pro,LigaPro Primera A,240,Ecuador
16,Colombia Primera A Apertura,Primera A,11539,Colombia
17,Turkish Super Lig,Süper Lig,52,Turkey
18,Norwegian Eliteserien,Eliteserien,20,Norway
19,Japanese J1 League,J1 League,196,Japan
20,Dutch Eredivisie,Eredivisie,37,Netherlands
21,Spanish Segunda Division,LaLiga 2,54,Spain
22,Greek Super League,Super League 1,185,Greece
23,Czech First League,1. Liga,229,Czech Republic
24,Brack Super League,Super League,215,Switzerland
25,Russian Premier League,Premier League,203,Russia
26,Division Profesional,Division Profesional,16736,Bolivia
27,German Bundesliga Zwei,2. Bundesliga,44,Germany
28,Cypriot Division 1,1. Division,1416,Cyprus
29,Liga MX,Liga MX,11621,Mexico
30,Hungarian Liga NB I,NB I,187,Hungary
31,Liga AUF,Primera División,278,Uruguay
32,Swedish Allsvenskan,Allsvenskan,40,Sweden
33,Austrian Bundesliga,Bundesliga,45,Austria
34,Italian Serie B,Serie B,53,Italy
35,Chile Primera,Primera División,11653,Chile
36,Saudi Arabian League,Saudi Pro League,955,Saudi Arabia
37,Botola Pro,Botola Pro 1,937,Morocco
38,French Ligue 2,Ligue 2,182,France
39,Romania Liga I,Superliga,188,Romania
40,Scottish Premiership,Premiership,36,Scotland
